// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
0517: $1713 = create_unavailable_asset_pickup 'PROP_4' at $1552 $1584 $1616 
0570: $1649 = create_asset_radar_marker_with_icon 32 at $1552 $1584 $1616 
018B: set_marker $1649 radar_mode 2 
$1553 = 2819.125 
$1585 = 2149.372 
$1617 = 10.3203 
$1682 = 10000 
09B4: set_object_property_at $1553 $1585 radius 10.0 bitmask 16384 flag 0 
0517: $1714 = create_unavailable_asset_pickup 'PROP_4' at $1553 $1585 $1617 
0570: $1650 = create_asset_radar_marker_with_icon 32 at $1553 $1585 $1617 
018B: set_marker $1650 radar_mode 2 
$1554 = 2483.024 
$1586 = -2001.074 
$1618 = 13.054 
$1683 = 10000 
09B4: set_object_property_at $1554 $1586 radius 10.0 bitmask 16384 flag 0 
0518: $1715 = create_available_asset_pickup 'PROP_3' at $1554 $1586 $1618 price $1683 
0570: $1651 = create_asset_radar_marker_with_icon 31 at $1554 $1586 $1618 
018B: set_marker $1651 radar_mode 2 
$1555 = 206.8 
$1587 = -112.1 
$1619 = 4.3965 
$1684 = 10000 
09B4: set_object_property_at $1555 $1587 radius 10.0 bitmask 16384 flag 0 
0517: $1716 = create_unavailable_asset_pickup 'PROP_4' at $1555 $1587 $1619 
0570: $1652 = create_asset_radar_marker_with_icon 32 at $1555 $1587 $1619 
018B: set_marker $1652 radar_mode 2 
$SAVE_PICKUPS_X[0] = 1512.746 
$SAVE_PICKUPS_Y[0] = -1691.403 
$SAVE_PICKUPS_Z[0] = 14.0469 
$SAVE_POINTS_X[0] = 1516.766 
$SAVE_POINTS_Y[0] = -1691.663 
$SAVE_POINTS_Z[0] = 12.7969 
$SAVE_POINTS_ANGLE[0] = 270.3133 
$847 = 0 
$SAVE_PICKUPS_X[1] = 1263.05 
$SAVE_PICKUPS_Y[1] = -773.67 
$SAVE_PICKUPS_Z[1] = 1091.39 
$SAVE_POINTS_X[1] = 1263.76 
$SAVE_POINTS_Y[1] = -776.59 
$SAVE_POINTS_Z[1] = 1090.89 
$SAVE_POINTS_ANGLE[1] = 183.23 
$848 = 0 
$SAVE_PICKUPS_X[2] = 416.9548 
$SAVE_PICKUPS_Y[2] = 2538.813 
$SAVE_PICKUPS_Z[2] = 9.5077 
$SAVE_POINTS_X[2] = 418.0759 
$SAVE_POINTS_Y[2] = 2536.771 
$SAVE_POINTS_Z[2] = 9.0077 
$SAVE_POINTS_ANGLE[2] = 269.2893 
$849 = 0 
$SAVE_PICKUPS_X[3] = 2367.192 
$SAVE_PICKUPS_Y[3] = -1121.518 
$SAVE_PICKUPS_Z[3] = 1050.382 
$SAVE_POINTS_X[3] = 2367.072 
$SAVE_POINTS_Y[3] = -1123.715 
$SAVE_POINTS_Z[3] = 1049.875 
$SAVE_POINTS_ANGLE[3] = 183.259 
$850 = 0 
$SAVE_PICKUPS_X[4] = 2320.103 
$SAVE_PICKUPS_Y[4] = -1009.116 
$SAVE_PICKUPS_Z[4] = 1049.718 
$SAVE_POINTS_X[4] = 2320.103 
$SAVE_POINTS_Y[4] = -1013.375 
$SAVE_POINTS_Z[4] = 1049.211 
$SAVE_POINTS_ANGLE[4] = 181.7957 
$851 = 0 
$SAVE_PICKUPS_X[5] = 2342.873 
$SAVE_PICKUPS_Y[5] = -1063.939 
$SAVE_PICKUPS_Z[5] = 1048.523 
$SAVE_POINTS_X[5] = 2339.254 
$SAVE_POINTS_Y[5] = -1063.86 
$SAVE_POINTS_Z[5] = 1048.023 
$SAVE_POINTS_ANGLE[5] = 90.7733 
$852 = 0 
$SAVE_PICKUPS_X[6] = 2186.014 
$SAVE_PICKUPS_Y[6] = -1203.834 
$SAVE_PICKUPS_Z[6] = 1048.523 
$SAVE_POINTS_X[6] = 2189.818 
$SAVE_POINTS_Y[6] = -1203.83 
$SAVE_POINTS_Z[6] = 1048.031 
$SAVE_POINTS_ANGLE[6] = 268.6874 
$853 = 0 
$SAVE_PICKUPS_X[7] = 2313.369 
$SAVE_PICKUPS_Y[7] = -1208.744 
$SAVE_PICKUPS_Z[7] = 1048.523 
$SAVE_POINTS_X[7] = 2310.853 
$SAVE_POINTS_Y[7] = -1210.975 
$SAVE_POINTS_Z[7] = 1048.023 
$SAVE_POINTS_ANGLE[7] = 130.1776 
$854 = 0 
$SAVE_PICKUPS_X[8] = 2249.397 
$SAVE_PICKUPS_Y[8] = -1209.449 
$SAVE_PICKUPS_Z[8] = 1048.523 
$SAVE_POINTS_X[8] = 2252.7 
$SAVE_POINTS_Y[8] = -1209.388 
$SAVE_POINTS_Z[8] = 1048.023 
$SAVE_POINTS_ANGLE[8] = 270.3929 
$855 = 0 
$SAVE_PICKUPS_X[9] = 2244.533 
$SAVE_PICKUPS_Y[9] = -1077.663 
$SAVE_PICKUPS_Z[9] = 1048.523 
$SAVE_POINTS_X[9] = 2241.069 
$SAVE_POINTS_Y[9] = -1077.736 
$SAVE_POINTS_Z[9] = 1048.031 
$SAVE_POINTS_ANGLE[9] = 88.0268 
$856 = 0 
$SAVE_PICKUPS_X[10] = 2205.382 
$SAVE_PICKUPS_Y[10] = -1074.59 
$SAVE_PICKUPS_Z[10] = 1049.977 
$SAVE_POINTS_X[10] = 2207.852 
$SAVE_POINTS_Y[10] = -1075.324 
$SAVE_POINTS_Z[10] = 1049.477 
$SAVE_POINTS_ANGLE[10] = 261.7253 
$857 = 0 
$SAVE_PICKUPS_X[11] = 2233.024 
$SAVE_PICKUPS_Y[11] = -1105.717 
$SAVE_PICKUPS_Z[11] = 1050.39 
$SAVE_POINTS_X[11] = 2233.231 
$SAVE_POINTS_Y[11] = -1107.852 
$SAVE_POINTS_Z[11] = 1049.89 
$SAVE_POINTS_ANGLE[11] = 182.2496 
$858 = 0 
$SAVE_PICKUPS_X[12] = 2278.139 
$SAVE_PICKUPS_Y[12] = -1139.583 
$SAVE_PICKUPS_Z[12] = 1050.398 
$SAVE_POINTS_X[12] = 2281.524 
$SAVE_POINTS_Y[12] = -1139.37 
$SAVE_POINTS_Z[12] = 1049.898 
$SAVE_POINTS_ANGLE[12] = 273.5033 
$859 = 0 
$SAVE_PICKUPS_X[13] = -2037.89 
$SAVE_PICKUPS_Y[13] = -2526.96 
$SAVE_PICKUPS_Z[13] = 30.13 
$SAVE_POINTS_X[13] = -2039.78 
$SAVE_POINTS_Y[13] = -2529.1 
$SAVE_POINTS_Z[13] = 29.63 
$SAVE_POINTS_ANGLE[13] = 21.23 
$860 = 0 
$SAVE_PICKUPS_X[14] = 877.81 
$SAVE_PICKUPS_Y[14] = -26.91 
$SAVE_PICKUPS_Z[14] = 62.69 
$SAVE_POINTS_X[14] = 877.04 
$SAVE_POINTS_Y[14] = -30.16 
$SAVE_POINTS_Z[14] = 62.19 
$SAVE_POINTS_ANGLE[14] = 66.85 
$861 = 0 
$SAVE_PICKUPS_X[15] = -2026.481 
$SAVE_PICKUPS_Y[15] = 156.8028 
$SAVE_PICKUPS_Z[15] = 28.5391 
$SAVE_POINTS_X[15] = -2021.036 
$SAVE_POINTS_Y[15] = 156.0674 
$SAVE_POINTS_Z[15] = 27.6521 
$SAVE_POINTS_ANGLE[15] = 272.5815 
$862 = 0 
$SAVE_PICKUPS_X[16] = -693.3776 
$SAVE_PICKUPS_Y[16] = 957.824 
$SAVE_PICKUPS_Z[16] = 11.7829 
$SAVE_POINTS_X[16] = -700.3663 
$SAVE_POINTS_Y[16] = 966.0852 
$SAVE_POINTS_Z[16] = 11.3575 
$SAVE_POINTS_ANGLE[16] = 90.0 
$863 = 0 
$SAVE_PICKUPS_X[17] = 2024.564 
$SAVE_PICKUPS_Y[17] = 996.4728 
$SAVE_PICKUPS_Z[17] = 10.3203 
$SAVE_POINTS_X[17] = 2027.043 
$SAVE_POINTS_Y[17] = 996.0585 
$SAVE_POINTS_Z[17] = 9.9203 
$SAVE_POINTS_ANGLE[17] = 275.516 
$864 = 0 
Pickup.Create($SAVE_PICKUPS[0], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[0], $SAVE_PICKUPS_Y[0], $SAVE_PICKUPS_Z[0])
Pickup.Create($SAVE_PICKUPS[1], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[1], $SAVE_PICKUPS_Y[1], $SAVE_PICKUPS_Z[1])
Pickup.Create($SAVE_PICKUPS[2], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[2], $SAVE_PICKUPS_Y[2], $SAVE_PICKUPS_Z[2])
Pickup.Create($SAVE_PICKUPS[3], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[3], $SAVE_PICKUPS_Y[3], $SAVE_PICKUPS_Z[3])
Pickup.Create($SAVE_PICKUPS[4], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[4], $SAVE_PICKUPS_Y[4], $SAVE_PICKUPS_Z[4])
Pickup.Create($SAVE_PICKUPS[5], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[5], $SAVE_PICKUPS_Y[5], $SAVE_PICKUPS_Z[5])
Pickup.Create($SAVE_PICKUPS[6], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[6], $SAVE_PICKUPS_Y[6], $SAVE_PICKUPS_Z[6])
Pickup.Create($SAVE_PICKUPS[7], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[7], $SAVE_PICKUPS_Y[7], $SAVE_PICKUPS_Z[7])
Pickup.Create($SAVE_PICKUPS[8], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[8], $SAVE_PICKUPS_Y[8], $SAVE_PICKUPS_Z[8])
Pickup.Create($SAVE_PICKUPS[9], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[9], $SAVE_PICKUPS_Y[9], $SAVE_PICKUPS_Z[9])
Pickup.Create($SAVE_PICKUPS[10], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[10], $SAVE_PICKUPS_Y[10], $SAVE_PICKUPS_Z[10])
Pickup.Create($SAVE_PICKUPS[11], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[11], $SAVE_PICKUPS_Y[11], $SAVE_PICKUPS_Z[11])
Pickup.Create($SAVE_PICKUPS[12], #PICKUPSAVE, 3, $SAVE_PICKUPS_X[12], $SAVE_PICKUPS_Y[12], $SAVE_PICKUPS_Z[12])
$SAVE_PICKUPS_INDEX = 0 
$1782 = 0 
$1783 = 0 
$1784 = 0 
$1785 = 0 
$1787 = 0 
$1790 = 0 
$1791 = 0 
$1789 = 0 
$1788 = 0 
$1794 = 0 
$MISSION_BEATTHECOCK_TYPE = 1 
$MISSION_BEATTHECOCK_PASSED = 0 
$HELP_CHILIAD_CYCLING_SHOWN = 0 
$MISSION_CHILIAD_CHALLENGE_PASSED = 0 
$1802 = 0 
$1803 = 0 
$1804 = 25 
$ONMISSION_MIKE_TORENO = 0 
$1799 = 1 
$1846 = 0 
$1847 = 0 
$ONMISSION_SHOOTING = 0 
$SHOOTING_X = 292.33 
$SHOOTING_Y = -35.39 
$SHOOTING_Z = 1000.5 
$1850 = 289.4804 
$1854 = -79.6619 
$1858 = 1001.727 
$1851 = 309.9744 
$1855 = -135.3927 
$1859 = 1002.826 
$1852 = 306.8972 
$1856 = -164.9947 
$1860 = 1000.259 
$1884 = 0 
$1873 = 0 
$1900 = 0 
$1903 = 0 
$1907 = 5000 
$1909 = 0 
$FLAG_PLAYER_IN_CRANE = 0 
$1911 = 0 
$1912 = 1 
$1913 = 0 
$1914 = 0 
$1915 = 0 
$1916 = 0 
$1917 = 0 
$1918 = 0 
$1919 = 0 
$1920 = 0 
$1932 = 2000 
$1934 = 2000 
$1937 = 8000 
$1939 = 0 
$1486 = 0 
$490 = 0 
$1798 = 0 
$1494 = 999999 
$1495 = 999999 
$1496 = 999999 
$DEFAULT_WAIT_TIME = 250 
$108 = 0.0625 
0086: $109 = $108 // (float) 
$109 /= 2.0 
0086: $110 = $109 // (float) 
$110 /= 2.0 
$30 = 0 
$56 = 1 
$177 = -425.0 
$178 = 1410.0 
$179 = 10.0 
$334 = 99999999 
$335 = 99999999 
$336 = 99999999 
$337 = 99999999 
$338 = 99999999 
$339 = 99999999 
$340 = 99999999 
$341 = 99999999 
$342 = 99999999 
$343 = 99999999 
$344 = 99999999 
$345 = 99999999 
$346 = 0 
$347 = 0 
$348 = 0 
$349 = 0 
$350 = 0 
$351 = 0 
$MISSION_LEARNING_TO_FLY_PASSED = 0 
$MISSION_BACK_TO_SCHOOL_PASSED = 0 
$107 = 0 
$105 = 0 
$91 = 0 
$92 = 0 
$93 = 0 
$94 = 0 
$95 = 0 
$96 = 0 
$97 = 0 
$98 = 0 
$99 = 0 
$100 = 0 
$101 = 0 
$102 = 0 
$103 = 0 
$104 = 0 
$53 = 0 
$1940 = 1 
$MISSION_BLOODRING_PASSED = 0 
$FLIGHT_SCHOOL_RECORDS = 0 
$1943 = 0 
$1944 = 0 
$1945 = 0 
$1946 = 0 
$1947 = 0 
$1948 = 0 
$1949 = 0 
$1950 = 0 
$1951 = 0 
$FLIGHT_SCHOOL_CONTESTS_PASSED = 1 
$FLIGHT_SCHOOL_CURRENT_CONTEST = 1 
$FLIGHT_SCHOOL_BRIEF_PLAYED = 0 
$PILOT_LICENSE_OBTAINED = 0 
$PARKED_RUSTLER_EXISTS = 0 
$PARKED_STUNT_EXISTS = 0 
$PARKED_HUNTER_EXISTS = 0 
014B: $PARKED_RUSTLER = init_car_generator -54 color -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 325.12 2537.1 17.52 angle 180.0 
014B: $PARKED_STUNT = init_car_generator -55 color -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 348.0 2537.1 17.42 angle 180.0 
014B: $PARKED_HUNTER = init_car_generator -21 color -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 365.51 2537.1 17.42 angle 180.0 
014C: set_parked_car_generator $PARKED_RUSTLER cars_to_generate_to 0 
014C: set_parked_car_generator $PARKED_STUNT cars_to_generate_to 0 
014C: set_parked_car_generator $PARKED_HUNTER cars_to_generate_to 0 
$1962 = 1 
$1963 = 60000 
$1964 = 80000 
$1965 = 180000 
$1966 = 10 
$1967 = 200000 
$1968 = 0 
$MISSION_BOAT_SCHOOL_PASSED = 0 
$1970 = 0 
$1971 = 0 
$1972 = 0 
$1973 = 0 
$1974 = 0 
$1975 = 0 
$1976 = 0 
$1977 = 0 
$1978 = 0 
$1979 = 0 
$1980 = 0 
$1981 = 0 
$1982 = 0 
$1983 = 0 
$1984 = 0 
$PARKED_MARQUIS_EXISTS = 0 
$PARKED_SQUALO_EXISTS = 0 
$PARKED_JETMAX_EXISTS = 0 
014B: $PARKED_MARQUIS = init_car_generator -56 color -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2227.104 2445.776 0.0 angle 229.3771 
014B: $PARKED_SQUALO = init_car_generator -57 color -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2223.873 2409.866 0.0 angle 49.0555 
014B: $PARKED_JETMAX = init_car_generator -58 color -1 -1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at -2247.836 2425.675 0.0 angle 220.2123 
014C: set_parked_car_generator $PARKED_MARQUIS cars_to_generate_to 0 
014C: set_parked_car_generator $PARKED_SQUALO cars_to_generate_to 0 
014C: set_parked_car_generator $PARKED_JETMAX cars_to_generate_to 0 
$MISSION_PIMPING_PASSED = 0 
$MISSION_COURIER_LS_PASSED = 0 
$MISSION_COURIER_LV_PASSED = 0 
$MISSION_COURIER_SF_PASSED = 0 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1633.697 -2324.297 13.1025 angle 268.0362 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1502.271 -2268.209 -2.7762 angle 90.9741 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1495.164 -2259.344 -2.7766 angle 143.9353 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1454.968 -2258.545 -2.7789 angle 215.7898 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1445.829 -2272.69 -2.7778 angle 199.6918 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1410.765 -2241.558 13.2442 angle 0.8179 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1404.387 -2261.572 13.2444 angle 177.899 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1454.155 -2225.533 13.2442 angle 0.8121 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1560.345 -2237.277 13.2433 angle 268.4857 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1542.651 -2212.105 13.253 angle 358.215 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1804.969 -1931.344 13.0842 angle 178.8428 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -60 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1801.799 -1931.397 13.0846 angle 178.9231 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -59 color 6 6 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1795.493 -1931.268 13.0843 angle 181.2111 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2021.755 -1411.248 17.0534 angle 90.0476 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2019.059 -1418.689 17.0528 angle 89.3891 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2033.214 -1446.983 17.3036 angle 271.9595 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 2029.491 -1435.743 17.1316 angle 0.6747 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1193.215 -1317.71 13.4575 angle 179.5161 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1217.683 302.1581 19.6157 angle 67.3855 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -61 color 1 3 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1214.825 296.5536 19.6092 angle 66.7144 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 613.3344 -596.8228 17.1668 angle 271.5206 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 614.1453 -601.1002 17.1636 angle 271.7643 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 613.3369 -589.3428 17.1617 angle 303.1242 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 620.3925 -584.7552 17.2844 angle 178.4422 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 617.8033 -585.1524 17.2811 angle 176.5751 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 610.6077 -610.653 17.2768 angle 320.1708 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 614.7336 -610.1886 17.2777 angle 324.404 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 637.3342 -609.7967 16.38 angle 265.4285 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1599.527 -1631.61 14.4958 angle 89.676 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1599.199 -1623.826 14.4554 angle 92.4547 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -30 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1599.648 -1615.695 14.4609 angle 90.7619 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1603.763 -1610.785 13.4389 angle 90.7137 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1602.312 -1605.677 13.4221 angle 90.2924 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -62 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1566.627 -1614.514 13.3169 angle 181.7705 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1568.687 -1615.44 13.4296 angle 359.7652 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1573.442 -1615.842 13.4405 angle 358.9587 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1575.674 -1614.813 13.4359 angle 180.9833 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -23 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1562.547 -1613.992 13.1083 angle 179.8689 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -23 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1556.253 -1613.82 13.109 angle 358.2046 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -23 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1550.734 -1613.827 13.1076 angle 0.8521 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -23 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1535.113 -1678.094 13.1086 angle 359.8867 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1535.873 -1665.689 13.4256 angle 48.3236 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1536.329 -1669.053 13.4463 angle 44.284 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1536.391 -1672.068 13.4405 angle 49.9384 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -63 color 0 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1536.423 -1674.127 13.4268 angle 48.3245 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -64 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1745.028 -1476.506 13.8716 angle 269.2305 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1757.76 -1483.208 13.9733 angle 261.991 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -65 color 3 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1708.39 -1453.648 13.9734 angle 0.3801 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -66 color 15 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1777.652 -1933.188 13.7179 angle 181.1642 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -66 color 6 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1782.632 -1930.878 13.7219 angle 179.6805 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 17 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1788.667 -1930.302 13.7185 angle 179.7038 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 1 2 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1777.751 -1908.352 13.72 angle 179.2604 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
014B: $9468 = init_car_generator -67 color 66 1 force_spawn 1 alarm 0 door_lock 0 min_delay 0 max_delay 10000 at 1788.147 -1886.357 13.7167 angle 268.276 
014C: set_parked_car_generator $9468 cars_to_generate_to 1 
